threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,fpr,fnr
0.21,0.5649441340782123,0.3187527067994803,0.7131782945736435,0.4405866507033822,0.6921187443000456,0.5087150075029894,0.48192401960784315,0.2868217054263566
0.22,0.5833333333333334,0.32421150278293137,0.6773255813953488,0.4385194479297365,0.6921187443000456,0.5087150075029894,0.44638480392156865,0.3226744186046512
0.23,0.6073091247672253,0.33434496712190187,0.6405038759689923,0.4393486208042539,0.6921187443000456,0.5087150075029894,0.40318627450980393,0.3594961240310077
0.24,0.6238361266294227,0.340958605664488,0.6065891472868217,0.43654114365411434,0.6921187443000456,0.5087150075029894,0.3707107843137255,0.39341085271317827
0.25,0.6347765363128491,0.34252199413489737,0.5658914728682171,0.4267446108878334,0.6921187443000456,0.5087150075029894,0.3434436274509804,0.43410852713178294
0.26,0.6492085661080075,0.35053492762743865,0.5397286821705426,0.4250286150324304,0.6921187443000456,0.5087150075029894,0.3161764705882353,0.46027131782945735
0.27,0.6610800744878957,0.3573351278600269,0.5145348837209303,0.4217633042096902,0.6921187443000456,0.5087150075029894,0.2925857843137255,0.48546511627906974
0.28,0.6715549348230913,0.36337418889689976,0.4883720930232558,0.41670111616370403,0.6921187443000456,0.5087150075029894,0.2705269607843137,0.5116279069767442
0.29,0.6824953445065177,0.3726993865030675,0.47093023255813954,0.4160958904109589,0.6921187443000456,0.5087150075029894,0.2506127450980392,0.5290697674418605
0.3,0.6987895716945997,0.39028475711892796,0.45155038759689925,0.41868823000898475,0.6921187443000456,0.5087150075029894,0.22303921568627452,0.5484496124031008
0.31,0.7099627560521415,0.4044642857142857,0.438953488372093,0.42100371747211895,0.6921187443000456,0.5087150075029894,0.20435049019607843,0.561046511627907
0.32,0.7199720670391061,0.41802492809204217,0.42248062015503873,0.4202409638554217,0.6921187443000456,0.5087150075029894,0.18596813725490197,0.5775193798449613
0.33,0.7269553072625698,0.4287158746208291,0.4108527131782946,0.4195942602671945,0.6921187443000456,0.5087150075029894,0.17310049019607843,0.5891472868217055
0.34,0.7344040968342644,0.44082519001085774,0.39341085271317827,0.4157706093189964,0.6921187443000456,0.5087150075029894,0.15778186274509803,0.6065891472868217
0.35,0.7460428305400373,0.46557759626604434,0.3866279069767442,0.4224457384859714,0.6921187443000456,0.5087150075029894,0.1403186274509804,0.6133720930232558
0.36,0.7511638733705773,0.47655259822560203,0.3643410852713178,0.41295991213618893,0.6921187443000456,0.5087150075029894,0.12653186274509803,0.6356589147286822
0.37,0.7586126629422719,0.4966261808367072,0.35658914728682173,0.41511562323745066,0.6921187443000456,0.5087150075029894,0.11427696078431372,0.6434108527131783
0.38,0.7662942271880819,0.5202312138728323,0.3488372093023256,0.4176334106728538,0.6921187443000456,0.5087150075029894,0.1017156862745098,0.6511627906976745
0.39,0.7704841713221602,0.5358255451713395,0.3333333333333333,0.4109916367980884,0.6921187443000456,0.5087150075029894,0.09129901960784313,0.6666666666666666
0.4,0.7746741154562383,0.5522875816993464,0.32751937984496127,0.41119221411192214,0.6921187443000456,0.5087150075029894,0.08394607843137254,0.6724806201550387
0.41,0.7797951582867784,0.5743944636678201,0.32170542635658916,0.4124223602484472,0.6921187443000456,0.5087150075029894,0.07536764705882353,0.6782945736434108
0.42,0.7832867783985102,0.5916515426497277,0.31589147286821706,0.4118761844598863,0.6921187443000456,0.5087150075029894,0.06893382352941177,0.6841085271317829
0.43,0.784683426443203,0.6015180265654649,0.3071705426356589,0.40667094291212313,0.6921187443000456,0.5087150075029894,0.06433823529411764,0.6928294573643411
0.44,0.7867783985102421,0.616,0.29844961240310075,0.402088772845953,0.6921187443000456,0.5087150075029894,0.058823529411764705,0.7015503875968992
0.45,0.7895716945996276,0.6350210970464135,0.2916666666666667,0.399734395750332,0.6921187443000456,0.5087150075029894,0.053002450980392156,0.7083333333333334
0.46,0.7907355679702048,0.6494382022471911,0.2800387596899225,0.3913337846987136,0.6921187443000456,0.5087150075029894,0.04779411764705882,0.7199612403100775
